fLength;fWidth;fSize;fConc;fConc1;fAsym;fM3Long;fM3Trans;fAlpha;fDist;class
287.967;160.021;26.449;0.3918;0.1982;277.004;22.011;-82.027;40.092;818.828;g
316.036;117.235;25.185;0.5303;0.3773;262.722;238.238;-99.574;63.609;205.261;g
16.205.200.000.000.000;136.031;40.612;0.0374;0.0187;116.741;-64.858;-45.216;76.96;256.788;g
238.172;95.728;23.385;0.6147;0.3922;272.107;-64.633;-71.513;10.449.000.000.000.000;11.673.700.000.000.000;g
751.362;309.205;31.611;0.3168;0.1832;-55.277;285.525;218.393;4.648;356.462;g
51.623.999.999.999.900;211.502;29.085;0.242;0.134;508.761;431.887;98.145;3.613;23.809.799.999.999.900;g
482.468;173.565;30.332;0.2529;0.1515;8.573;380.957;105.868;4.792;21.908.700.000.000.000;g
267.897;137.595;25.521;0.4236;0.2174;296.339;20.456;-29.292;0.812;23.713.400.000.000.000;g
962.327;465.165;4.154;0.0779;0.039;110.355;850.486;431.844;4.854;248.226;g
467.619;151.993;25.786;0.3377;0.1913;247.548;438.771;-66.812;7.875;102.251;g
627.766;299.104;33.331;0.2475;0.1261;-339.065;575.848;23.771;99.144;323.094;g
188.562;16.46;24.385;0.5282;0.2933;251.269;-65.401;-169.327;11.460.999.999.999.900;16.284.799.999.999.900;g
456.321;22.71;30.441;0.2213;0.1215;-183.986;-206.427;-143.164;0.3822;178.255;g
331.818;124.655;24.955;0.4696;0.2412;-170.341;-220.762;-81.803;41.928.999.999.999.900;413.816;g
60.458;331.061;31.944;0.4679;0.2464;14.3;-338.765;288.315;8.292;37.256.800.000.000.000;g
294.741;224.581;26.258;0.3077;0.174;181.242;227.035;131.673;480.364;21.412.599.999.999.900;g
361.741;176.865;2.946;0.2865;0.1591;-47.746;-189.697;113.256;0.254;191.455;g
462.915;160.328;27.756;0.3403;0.192;499.706;333.653;-127.979;38.707;755.234;g
460.588;18.787;32.217;0.2431;0.1504;492.704;341.066;107.955;8.686;180.783;g
447.394;156.364;2.638;0.3107;0.1715;14.043;372.246;124.183;32.510.000.000.000.000;22.180.599.999.999.900;g
916.423;718.818;38.484;0.078;0.043;-567.107;723.016;60.019;16.622;285.414;g
860.486;218.287;33.587;0.2369;0.1662;-587.854;578.212;-188.093;2.005;302.553;g
905.299;178.721;3.033;0.2122;0.10800000000000001;-57.417;846.189;149.662;2.039;272.038;g
203.836;90.462;23.365;0.6359;0.3894;22.27;129.487;-20.403;430.032;661.667;g
872.384;27.935;28.848;0.3155;0.1806;-182.102;666.867;-113.438;44.265;342.504;g
107.338;291.356;35.265;0.1315;0.0683;-471.175;895.136;-200.479;3.312;293.781;g
272.304;192.817;26.375;0.371;0.2039;230.406;233.428;97.216;775.379;10.428.299.999.999.900;g
267.065;18.907;26.781;0.4281;0.2214;91.616;186.858;-116.888;26.881;637.637;g
235.647;99.926;22.095;0.5679;0.3364;300.056;-138.665;-8.26;265.328;18.518.900.000.000.000;g
347.486;192.286;25.629;0.3666;0.1984;303.637;-163.092;143.186;1.521;109.445;g
504.829;259.699;33.194;0.1941;0.1133;321.193;390.162;-181.839;22.471;141.601;g
874.217;267.866;34.231;0.2809;0.1761;104.779;683.446;-240.948;0.3647;371.79;g
349.205;159.621;28.457;0.3267;0.1762;158.025;118.249;119.768;9.59;15.471.200.000.000.000;g
286.609;191.223;28.609;0.3402;0.1894;-103.243;-231.846;114.633;207.574;19.905.900.000.000.000;g
752.057;316.833;31.334;0.192;0.0997;-581.243;43.08;103.219;15.926;282.915;g
84.61;364.657;36.809;0.1393;0.0714;544.505;860.228;161.472;17.575;258.597;g
456.094;208.103;30.438;0.226;0.1162;-0.5056;377.755;-92.036;4.25;165.582;g
37.742;243.346;30.404;0.2478;0.1508;5.997.999.999.999.990;344.104;137.756;24.215.999.999.999.900;131.601;g
381.817;159.235;26.906;0.3262;0.1662;101.326;261.095;-31.071;2.572;17.700.799.999.999.900;g
736.263;35.582;34.533;0.2493;0.1333;-480.377;426.119;-262.742;4.471;37.231.699.999.999.900;g
633.453;243.855;34.233;0.2339;0.1375;-486.381;-194.147;169.773;0.64;291.553;g
167.608;113.962;22.989;0.5829;0.3291;-0.8645;50.177;-57.427;62.618;169.688;g
276.746;189.149;25.422;0.3759;0.2224;30.936.999.999.999.900;20.242;15.142.999.999.999.900;193.719;22.324.099.999.999.900;g
132.617;107.145;21.319;0.7823;0.4096;147.178;24.666;-118.517;68.604;107.851;g
616.463;21.171;34.303;0.2112;0.1086;548.329;524.882;-189.858;42.131;234.581;g
186.533;151.674;24.338;0.523;0.337;-42.971;160.316;80.971;47.998;557.509;g
381.627;251.091;31.041;0.247;0.1279;372.749;228.564;16.227;55.119;18.812.400.000.000.000;g
12.974;109.058;21.021;0.7431;0.4704;137.506;-62.434;-65.973;422.408;168.245;g
