Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
67,1,2,1,0,1,1169,6,6,good
22,2,2,1,1,4,5951,48,6,bad
49,1,1,1,1,0,2096,12,4,good
45,1,2,2,1,1,7882,42,5,good
53,1,2,2,1,1,4870,24,2,bad
35,1,1,2,0,0,9055,36,4,good
53,1,2,1,2,0,2835,24,5,good
35,1,3,3,1,4,6948,36,2,good
61,1,1,1,3,0,3059,12,6,good
28,1,3,1,1,4,5234,30,2,bad
25,2,2,3,1,4,1295,12,2,bad
24,2,2,3,1,1,4308,48,1,bad
22,2,2,1,1,4,1567,12,6,good
60,1,1,1,1,1,1199,24,2,bad
28,2,2,3,1,1,1403,15,2,good
32,2,1,1,4,1,1282,24,6,bad
53,1,2,1,0,0,2424,24,6,good
25,1,2,1,0,1,8072,30,1,good
44,2,3,2,1,4,12579,24,2,bad
31,1,2,1,2,0,3430,24,6,good
48,1,2,1,1,0,2134,9,2,good
44,1,2,3,2,1,2647,6,6,good
48,1,1,3,1,1,2241,10,2,good
44,1,2,1,4,4,1804,12,2,good
26,1,2,1,0,0,2069,10,5,good
36,1,1,1,1,1,1374,6,5,good
39,1,1,1,1,0,426,6,6,good
42,2,2,3,3,3,409,12,6,good
34,1,2,1,1,4,2415,7,6,good
63,1,2,1,1,1,6836,60,1,bad
36,1,2,1,3,4,1913,18,1,good
27,1,2,1,1,1,4020,24,5,good
30,1,2,1,4,4,5866,18,2,good
57,1,1,3,0,0,1264,12,1,good
33,2,3,1,1,3,1474,12,5,good
25,1,1,1,1,4,4746,45,6,bad
31,1,2,2,1,0,6110,48,4,good
37,1,2,1,1,3,2100,18,6,bad
37,1,2,1,1,3,1225,10,3,good
24,1,2,1,1,4,458,9,6,good
30,1,3,1,2,0,2333,30,6,good
26,1,2,1,2,4,1158,12,6,good
44,1,1,1,1,4,6204,18,7,good
24,1,2,3,4,1,6187,30,2,good
58,2,1,2,1,1,6143,48,2,bad
35,2,3,1,1,0,1393,11,2,good
39,1,2,1,2,0,2299,36,6,good
23,2,0,3,2,1,1352,6,2,good
39,1,1,1,1,0,7228,11,2,good
28,2,2,1,4,0,2073,12,6,good
29,1,1,1,0,4,2333,24,5,good
30,1,3,1,1,4,5965,27,2,good
25,1,2,1,1,0,1262,12,6,good
31,1,2,1,0,0,3378,18,2,good
57,1,2,2,1,4,2225,36,2,bad
26,1,1,1,0,0,783,6,2,good
