Run,Dataset,Classifier,Classifier_accuracy,Classifier_time,DESFH_accuracy,DESFH_time,EnsemblePruneFH_accuracy,EnsemblePruneFH_time,Number_of_hyperboxes,Ensemble_members_removed,n_estimators,overlap_threshold,threshold_remove
1,pima,BaggingClassifier,0.68229,0.03003,0.68229,0.21014,0.67708,0.07203,137,3,10,0.01,0.01
1,pima,RandomForestClassifier,0.75521,0.01256,0.75521,0.24197,0.73438,0.09061,147,1,10,0.01,0.01
1,pima,AdaBoostClassifier,0.75521,0.01614,0.75,0.448,0.69271,0.12346,151,7,10,0.01,0.01
2,pima,BaggingClassifier,0.69792,0.02764,0.69792,0.23096,0.71354,0.05946,117,5,10,0.01,0.01
2,pima,RandomForestClassifier,0.70833,0.01473,0.70833,0.2244,0.68229,0.06017,107,7,10,0.01,0.01
2,pima,AdaBoostClassifier,0.68229,0.01617,0.67708,0.46213,0.60417,0.10607,135,8,10,0.01,0.01
3,pima,BaggingClassifier,0.73438,0.02438,0.73438,0.20088,0.70312,0.06083,110,6,10,0.01,0.01
3,pima,RandomForestClassifier,0.73958,0.01273,0.73958,0.21925,0.69271,0.06239,124,6,10,0.01,0.01
3,pima,AdaBoostClassifier,0.76562,0.01417,0.77083,0.40725,0.66146,0.13718,136,7,10,0.01,0.01
4,pima,BaggingClassifier,0.73438,0.02657,0.73438,0.20822,0.70312,0.06444,110,5,10,0.01,0.01
4,pima,RandomForestClassifier,0.74479,0.01355,0.74479,0.207,0.73958,0.051,109,3,10,0.01,0.01
4,pima,AdaBoostClassifier,0.74479,0.01453,0.70833,0.45739,0.64583,0.07692,118,9,10,0.01,0.01
5,pima,BaggingClassifier,0.73438,0.02304,0.73438,0.17864,0.73958,0.07128,141,4,10,0.01,0.01
5,pima,RandomForestClassifier,0.72917,0.01398,0.72917,0.19152,0.73958,0.07907,155,4,10,0.01,0.01
5,pima,AdaBoostClassifier,0.72396,0.01344,0.74479,0.34729,0.75521,0.11683,149,7,10,0.01,0.01
6,pima,BaggingClassifier,0.79167,0.0242,0.79167,0.2032,0.77604,0.07029,121,4,10,0.01,0.01
6,pima,RandomForestClassifier,0.76562,0.01298,0.76562,0.21876,0.70833,0.08224,135,6,10,0.01,0.01
6,pima,AdaBoostClassifier,0.79167,0.01471,0.70312,0.50882,0.25,0.11748,144,9,10,0.01,0.01
7,pima,BaggingClassifier,0.77604,0.02284,0.77604,0.20816,0.77604,0.09004,162,3,10,0.01,0.01
7,pima,RandomForestClassifier,0.72396,0.01452,0.72396,0.2044,0.73438,0.08526,155,5,10,0.01,0.01
7,pima,AdaBoostClassifier,0.75521,0.0143,0.73958,0.41144,0.67188,0.16262,166,4,10,0.01,0.01
8,pima,BaggingClassifier,0.83333,0.02307,0.83333,0.22482,0.82812,0.08198,141,2,10,0.01,0.01
8,pima,RandomForestClassifier,0.76042,0.01375,0.76042,0.23801,0.77083,0.10036,157,1,10,0.01,0.01
8,pima,AdaBoostClassifier,0.76042,0.01365,0.74479,0.53621,0.65104,0.06974,165,5,10,0.01,0.01
9,pima,BaggingClassifier,0.75,0.02872,0.75,0.20808,0.75521,0.04378,92,5,10,0.01,0.01
9,pima,RandomForestClassifier,0.72396,0.01427,0.72396,0.17964,0.70312,0.03598,92,6,10,0.01,0.01
9,pima,AdaBoostClassifier,0.6875,0.02527,0.6875,0.30886,0.70833,0.0532,90,3,10,0.01,0.01
10,pima,BaggingClassifier,0.72396,0.02235,0.72396,0.18796,0.70312,0.04248,99,1,10,0.01,0.01
10,pima,RandomForestClassifier,0.70833,0.01485,0.70833,0.19043,0.72396,0.05534,102,1,10,0.01,0.01
10,pima,AdaBoostClassifier,0.69271,0.01407,0.71875,0.39117,0.69792,0.07296,114,2,10,0.01,0.01
1,pima,BaggingClassifier,0.68229,0.02044,0.68229,0.15089,0.67708,0.03782,137,3,10,0.01,0.05
1,pima,RandomForestClassifier,0.75521,0.01164,0.75521,0.132,0.73438,0.04525,147,1,10,0.01,0.05
1,pima,AdaBoostClassifier,0.75521,0.00965,0.75,0.23401,0.69271,0.05965,151,7,10,0.01,0.05
2,pima,BaggingClassifier,0.69792,0.02146,0.69792,0.13357,0.71354,0.03266,117,5,10,0.01,0.05
2,pima,RandomForestClassifier,0.70833,0.00859,0.70833,0.13207,0.68229,0.02977,107,7,10,0.01,0.05
2,pima,AdaBoostClassifier,0.68229,0.00962,0.67708,0.23405,0.60417,0.04733,135,8,10,0.01,0.05
3,pima,BaggingClassifier,0.73438,0.02504,0.73438,0.24822,0.70312,0.07583,110,6,10,0.01,0.05
3,pima,RandomForestClassifier,0.73958,0.01476,0.73958,0.29119,0.69271,0.09768,124,6,10,0.01,0.05
3,pima,AdaBoostClassifier,0.76562,0.01661,0.77083,0.51672,0.66146,0.06665,136,7,10,0.01,0.05
4,pima,BaggingClassifier,0.73438,0.02204,0.73438,0.24271,0.70312,0.0723,110,5,10,0.01,0.05
4,pima,RandomForestClassifier,0.74479,0.01559,0.74479,0.25591,0.73958,0.05998,109,3,10,0.01,0.05
4,pima,AdaBoostClassifier,0.74479,0.01503,0.70833,0.58345,0.64583,0.06201,118,9,10,0.01,0.05
5,pima,BaggingClassifier,0.73438,0.02204,0.73438,0.23067,0.73958,0.09188,141,4,10,0.01,0.05
5,pima,RandomForestClassifier,0.72917,0.01627,0.72917,0.24311,0.73958,0.09255,155,4,10,0.01,0.05
5,pima,AdaBoostClassifier,0.72396,0.01861,0.74479,0.43507,0.75521,0.11575,149,7,10,0.01,0.05
6,pima,BaggingClassifier,0.79167,0.02254,0.79167,0.24271,0.77604,0.08285,121,4,10,0.01,0.05
6,pima,RandomForestClassifier,0.76562,0.01574,0.76562,0.29019,0.70833,0.09115,135,6,10,0.01,0.05
6,pima,AdaBoostClassifier,0.79167,0.0161,0.70312,0.55037,0.25,0.09795,144,9,10,0.01,0.05
7,pima,BaggingClassifier,0.77604,0.02205,0.77604,0.25676,0.77604,0.1182,162,3,10,0.01,0.05
7,pima,RandomForestClassifier,0.72396,0.02013,0.72396,0.24231,0.73438,0.10086,155,5,10,0.01,0.05
7,pima,AdaBoostClassifier,0.75521,0.02608,0.73958,0.53181,0.67188,0.0784,166,4,10,0.01,0.05
8,pima,BaggingClassifier,0.83333,0.02304,0.83333,0.29106,0.82812,0.09794,141,2,10,0.01,0.05
8,pima,RandomForestClassifier,0.76042,0.0157,0.76042,0.30736,0.77083,0.11433,157,1,10,0.01,0.05
8,pima,AdaBoostClassifier,0.76042,0.02007,0.74479,0.50728,0.65104,0.0691,165,5,10,0.01,0.05
9,pima,BaggingClassifier,0.75,0.02755,0.75,0.25227,0.75521,0.06075,92,5,10,0.01,0.05
9,pima,RandomForestClassifier,0.72396,0.01376,0.72396,0.2264,0.70312,0.05735,92,6,10,0.01,0.05
9,pima,AdaBoostClassifier,0.6875,0.02143,0.6875,0.42851,0.70833,0.06025,90,3,10,0.01,0.05
